metric,t_statistic,p_value,significant
num_residues,-1.978251412075655,0.04926999343059397,yes
evalue_pdb,-1.966574233689994,0.05045949146223794,no
similarity_check,-1.9683026346828534,0.05049673303415679,no
prob_pdb,-1.9447695991404643,0.0528700207159741,no
composition_ILE,1.9053252905192164,0.05789121397523272,no
pae_interaction,-1.8326173056336437,0.06835617252242243,no
qstart_pdb,1.7912824079676477,0.07422641855954738,no
budeff_desolvation,1.7760726760596024,0.07718225047124601,no
lddt_pdb,-1.755049168391337,0.08054513240528617,no
rosetta_fa_atr,1.7515738537871282,0.08133448865491145,no
composition_ARG,-1.648789738893705,0.10037238718313142,no
ss_prop_beta_bridge,1.5803580046362093,0.11550490915128436,no
mass,-1.5722350712939046,0.11740938504017569,no
mismatch_swissprot,1.4933393385614535,0.13679413725899478,no
bits_swissprot,-1.433334912482516,0.15311752860135328,no
rosetta_omega,-1.3996536912546995,0.1640116368795316,no
composition_ASP,1.3846343308311555,0.16742685159533371,no
fident_pdb,-1.3592804642280616,0.17521230573998134,no
alntmscore_pdb,-1.2293185158685953,0.22035123146125546,no
ttmscore_pdb,-1.2096680476180006,0.22780638326551994,no
composition_MET,1.1758425464720292,0.2410014293105188,no
qtmscore_swissprot,-1.1456388053258122,0.25315340220937727,no
evoef2_interD_total,-1.1067934675492135,0.2696855681106202,no
plddt,1.028327285429067,0.3049847526298759,no
composition_VAL,-1.021398895822395,0.30773544495219424,no
esm_pll,0.8827219292607029,0.37841715427284583,no
tend_pdb,-0.8332034924332475,0.4055895788814411,no
tstart_pdb,-0.8116099787826334,0.41855203955300835,no
composition_ASN,-0.7988173211089586,0.4251833078931103,no
alnlen_pdb,-0.774420427402028,0.43947928870453035,no
hydrophobic_fitness,-0.7254429241839644,0.46904663843213723,no
qend_pdb,-0.7199463752514778,0.47229396269314594,no
composition_PRO,-0.7198823442733203,0.4723923910257748,no
rosetta_pro_close,-0.7064876768745085,0.48107341983130913,no
composition_ALA,0.6884620809204806,0.4917708613431485,no
mismatch_pdb,-0.6772386922648332,0.49896366487096067,no
ss_prop_pi_helix,-0.6090592644528202,0.5434084786214175,no
composition_HIS,0.5841915668611631,0.5597694695896243,no
rosetta_p_aa_pp,-0.5804140165088532,0.5623472159954437,no
rosetta_fa_sol,-0.5478700316761512,0.5843159718867963,no
alnlen_swissprot,0.5243399000229405,0.6005458729525261,no
tend_swissprot,0.49766760456142295,0.6191903034378552,no
prob_swissprot,-0.4838241880021467,0.6289935407004379,no
qend_swissprot,0.39533493937210823,0.69297694082518,no
rosetta_fa_intra_rep,-0.34126410078639063,0.7331860335124847,no
tstart_swissprot,0.1564422061661355,0.8758631690385162,no
rosetta_fa_dun,-0.14300880971752158,0.8864065521686433,no
qstart_swissprot,0.07890945914149469,0.9372014411519883,no
composition_CYS,0.07029870022817676,0.9440159531095836,no
rosetta_fa_intra_sol_xover4,0.05182544936875146,0.958710653340253,no
gapopen_pdb,-0.011929897168058447,0.9904917141707985,no
rosetta_fa_elec,0.0005462795259200498,0.9995645904001904,no
composition_UNK,,,no
rosetta_yhh_planarity,,,no
